,hash_id,Vlak,Vecerka,Obchod,Bus,Skola,Skolka,Lekar,Hospoda,Restaurace,Metro,Tram,date_update,building_type,building_condition,building_location,area_net,price_note,energy_efficient_rating,building_floor_type,building_floor,garage,swimming_pool,area_landplot,cellar,house_location,price,lat,lon,locality,region,lat_cen,lon_cen,city_dist
4086,664245580,725.0,397.0,0.0,372.0,727.0,727.0,5384.0,2252.0,438.0,0.0,0.0,29.01.2024,Cihlová,Velmi dobrý,Klidná část obce,100.0,včetně provize,,Patrový,,1,,1032.0,1,Samostatný,5050000,50.370426,14.872488,"Písková Lhota - Zámostí, okres Mladá Boleslav",11,50.0875,14.4213889,44.93747893071169
4088,1759536204,2769.0,780.0,4086.0,588.0,1390.0,1285.0,0.0,2133.0,581.0,0.0,0.0,31.01.2024,Cihlová,Novostavba,Klidná část obce,285.0,informace o ceně v RK v RK,A,Patrový,2,1,1.0,850.0,,Samostatný,21990000,50.185566,14.489732,"V Sazenicích, Bořanovice - Pakoměřice",11,50.0875,14.4213889,11.942891468203934
4090,1978111308,3153.0,186.0,1637.0,75.0,383.0,257.0,4037.0,1903.0,588.0,0.0,0.0,30.01.2024,Cihlová,Dobrý,Klidná část obce,326.0,,G,Patrový,2,1,,628.0,,Rohový,9490000,50.138245,14.16105,"Příčná, Hřebeč",11,50.0875,14.4213889,19.40251890712306
4091,1474200652,1731.0,1449.0,1290.0,22.0,1750.0,1856.0,1907.0,70.0,1263.0,0.0,0.0,16.01.2024,Cihlová,Před rekonstrukcí,,310.0,cena je včetně provize a kompletního právního servisu,G,Patrový,2,,,843.0,,Samostatný,3299999,49.660728,14.01333,"Horní, Příbram - Brod",11,50.0875,14.4213889,55.740908954116655
4093,1803588940,2247.0,61.0,0.0,81.0,161.0,4065.0,4033.0,2701.0,652.0,0.0,0.0,05.12.2023,Kamenná,Po rekonstrukci,Okraj obce,226.0,,C,Patrový,,,1.0,916.0,1,Samostatný,15000000,50.327087,14.017151,"Vraný, okres Kladno",11,50.0875,14.4213889,39.208751295944055
4094,2402784588,1558.0,54.0,0.0,52.0,1747.0,1747.0,0.0,2427.0,101.0,0.0,0.0,22.12.2023,Cihlová,Novostavba,Centrum obce,127.0,,B,Přízemní,2,,,476.0,,Řadový,13700000,50.243137,14.656332,"Lhota, okres Praha-východ",11,50.0875,14.4213889,24.073793661021018
4095,1085314380,3061.0,351.0,1820.0,269.0,351.0,244.0,4150.0,2086.0,663.0,0.0,0.0,31.01.2024,Smíšená,Velmi dobrý,Centrum obce,140.0,,G,Patrový,2,,,246.0,,Samostatný,7990000,50.139347,14.163162,"Buštěhradská, Hřebeč",11,50.0875,14.4213889,19.29453388687086
4097,17864012,515.0,2342.0,0.0,365.0,281.0,445.0,0.0,3107.0,145.0,0.0,0.0,18.01.2024,Cihlová,Velmi dobrý,Okraj obce,180.0,,D,Patrový,3 včetně 1 podzemního,1,,995.0,,Samostatný,6900000,49.731304,15.174788,"Vlastějovice, okres Kutná Hora",11,50.0875,14.4213889,66.9275819920711
4098,278221900,1232.0,1654.0,0.0,225.0,1347.0,1954.0,0.0,1461.0,476.0,0.0,0.0,29.11.2023,Cihlová,Dobrý,Klidná část obce,160.0,"včetně provize, včetně právního servisu",G,Patrový,,35,,1004.0,80,Samostatný,5390000,49.657814,14.450937,"Na Červeném Hrádku, Sedlčany",11,50.0875,14.4213889,47.82580290358757
4099,4086404428,971.0,294.0,1225.0,170.0,209.0,380.0,0.0,219.0,109.0,0.0,0.0,26.01.2024,Cihlová,Dobrý,,100.0,uvedená cena je včetně právního servisu a odměny RK,E,Patrový,2,,1.0,701.0,,V bloku,6900000,49.709076,14.895888,"Radnická, Vlašim",11,50.0875,14.4213889,54.08952363953395
4100,1458672972,286.0,214.0,983.0,267.0,406.0,532.0,355.0,306.0,323.0,0.0,0.0,15.12.2023,Cihlová,Dobrý,Klidná část obce,180.0,,G,Patrový,2,,,250.0,,V bloku,4990000,50.146317,14.090448,"Havířská, Kladno",11,50.0875,14.4213889,24.48590789114345
4101,769758540,777.0,1306.0,0.0,288.0,1289.0,1688.0,0.0,1454.0,1188.0,0.0,0.0,Dnes,Cihlová,Dobrý,Klidná část obce,80.0,,G,Přízemní,1,1,,1886.0,1,Samostatný,4490000,49.750145,15.073792,"Chabeřice, okres Kutná Hora",11,50.0875,14.4213889,59.90699478908376
4102,2766247244,823.0,1034.0,0.0,802.0,923.0,1650.0,0.0,1139.0,1010.0,0.0,0.0,08.12.2023,Smíšená,Novostavba,,281.0,,B,Patrový,,1,,1276.0,,Samostatný,13790000,50.206341,14.358081,"Hašlerova, Libčice nad Vltavou",11,50.0875,14.4213889,13.963279292733695
4103,3524367692,2200.0,68.0,0.0,128.0,262.0,170.0,0.0,2154.0,72.0,0.0,0.0,04.01.2024,Cihlová,V rekonstrukci,Centrum obce,281.0,"včetně provize, včetně právního servisu",G,Patrový,,,,494.0,16,Řadový,10450000,50.085495,14.136289,"Pražská, Unhošť",11,50.0875,14.4213889,20.34195998523147
